x,y
1253,612
1736,855
168,1211
302,1631
1142,1148
50,240
1699,1238
1671,309
238,583
619,109
1702,364
511,497
1047,1308
625,306
1980,386
1260,1687
364,871
571,1161
1266,971
516,229
1844,128
871,236
1176,1881
440,1784
1128,924
927,692
1345,1509
230,1379
1540,1194
213,449
932,1514
211,1458
422,1612
1756,414
944,1377
105,1505
1379,11
257,1640
482,908
157,1839
1474,1197
1927,600
935,1375
1364,1362
1073,285
800,128
845,327
15,1504
1886,1213
138,1687
922,1246
993,681
1267,1837
1000,426
767,1045
1953,161
1671,214
1955,209
1428,545
1124,1828
1318,18
1073,823
1793,1818
1439,145
69,1851
1207,1518
416,906
675,1100
1265,1849
1090,1019
1138,654
1093,1546
237,563
1817,642
1360,1142
906,985
1830,1604
1997,1942
1077,1224
426,449
1438,1286
1794,328
90,951
1644,262
556,290
606,61
1233,1844
703,1937
1049,1101
1073,1135
657,1736
586,420
1828,169
732,98
85,63
391,1292
687,1217
965,1251
926,1803
1545,1400
513,1614
312,1385
363,1437
1045,1567
1223,15
619,758
295,976
321,1021
493,88
1509,1727
930,440
1346,1415
886,707
342,177
1087,1487
1247,895
1220,134
1691,567
665,1
1025,600
909,1896
1738,1947
1256,1144
1342,1782
515,1236
1991,288
1469,1706
1719,4
15,1414
1705,611
5,845
175,1583
927,1028
327,667
1216,224
456,1294
820,415
1653,838
1546,544
517,225
1203,1281
415,554
92,503
656,1347
1493,467
1879,1711
458,1980
1251,754
1204,112
1264,776
32,8
1814,391
1160,1033
505,550
411,38
274,767
1148,1382
903,1912
716,1210
354,1292
186,1080
1389,750
424,1814
1303,761
850,21
1262,1064
106,1949
202,359
1188,1337
1705,86
1165,1804
539,1116
449,1527
1953,291
484,1334
1024,1435
1429,847
629,1019
50,239
1515,132
1646,1400
1916,1532
1735,563
804,1430
1711,1680
436,6
1375,1729
1871,1184
510,1791
1463,391
896,325
1649,1295
783,159
1942,1978
1428,347
1819,870
221,1574
242,846
1660,277
1051,130
327,305
334,989
48,827
769,1481
199,741
891,459
989,1400
1580,545
1565,1950
999,1886
309,760
708,511
512,859
1689,537
1962,390
1262,73
1751,875
1732,1884
1476,1651
1266,1151
893,1813
1551,405
1474,375
1667,1939
164,1973
522,913
636,901
1650,431
1033,1028
1596,373
1595,493
325,1488
9,837
926,1821
1533,1728
431,1837
102,1339
1154,1591
1912,1075
67,32
362,145
1017,778
1897,992
1744,1327
701,1365
830,29
190,185
1176,1357
1320,878
1151,1702
1638,1091
905,768
207,672
848,1579
421,616
1621,210
658,933
1718,365
825,813
668,1387
1288,1317
1470,594
592,918
908,54
582,333
1711,19
1427,1734
1557,1194
858,212
1827,1288
871,1074
281,436
119,885
1485,1338
91,59
1476,1499
668,746
625,212
1699,274
992,1949
644,1775
131,535
516,1367
733,1915
547,819
390,1744
162,1513
535,1313
542,797
1508,727
141,1894
1580,350
364,1003
1200,629
309,1269
1347,1164
166,780
1723,613
207,225
431,1499
1929,478
142,66
259,1464
305,493
589,1187
1440,246
1125,519
1780,1915
746,1991
4,1407
1769,1672
612,1636
1371,1865
203,213
820,994
1673,1414
169,641
366,718
228,1831
533,664
911,1748
1018,1679
499,1494
108,1196
251,12
1979,399
1045,1737
1474,1519
863,416
1951,1220
606,1632
1303,1074
1282,623
1618,1349
716,544
1760,1091
1744,217
551,131
1457,1291
1054,1029
28,917
1828,1133
453,455
1870,732
275,1317
153,1583
549,1997
1993,1443
685,1248
1551,444
1637,1043
1358,565
1274,1019
105,714
454,98
1625,626
335,1210
1954,996
1295,642
889,1390
1230,1451
621,1499
1546,1741
65,1942
1961,158
1481,1368
1785,1866
1797,1945
863,445
1787,1443
1363,758
1042,832
1172,1200
1344,439
953,1433
509,1548
1729,1469
1598,1686
184,1246
1463,769
1675,1924
928,187
289,1124
395,1463
561,1853
1400,523
876,1729
426,202
189,317
1196,533
178,1666
994,370
1662,1151
1234,426
1129,868
2,17
294,1216
16,1514
1365,1218
34,1208
1075,122
873,29
74,524
1293,46
1483,632
1823,1530
1829,1050
1376,715
1347,1710
805,363
909,1799
1626,908
294,845
61,1539
963,1808
1932,340
217,1147
1077,248
1633,346
478,1111
1490,890
1866,1852
1313,1216
1272,1740
816,1996
1945,1530
1660,224
843,1106
1995,1742
1008,1151
816,927
161,1075
1817,451
1161,1414
211,492
769,1193
1165,1040
261,815
1525,121
82,1568
1576,431
819,350
1530,1202
61,301
882,1799
820,801
1799,1535
266,278
739,797
285,1174
1840,904
743,427
467,743
904,1441
1397,1847
1530,1855
8,1350
1386,1353
342,1313
138,485
1196,544
630,1171
1812,1527
69,1079
810,719
101,834
1203,237
1310,1044
404,22
463,844
1856,1849
988,965
192,1757
1646,1187
637,1706
1815,1500
273,105
645,1652
167,1845
1918,606
1750,799
1546,857
340,750
1869,1283
1879,1188
375,363
590,339
257,1103
1176,1663
1851,1456
282,1364
1958,13
1087,607
95,1962
1749,313
45,911
539,669
1074,155
1275,713
544,707
1097,859
1421,1619
359,832
412,382
1186,605
685,907
954,1825
1836,934
672,492
514,655
1706,1397
1882,1041
1810,951
1954,92
1411,141
1386,87
336,429
434,685
1674,1435
673,1123
1628,1003
1371,1564
1513,1596
1813,1871
293,1397
905,10
778,1893
759,530
1081,1000
1186,1608
1253,1059
1156,1064
70,703
651,750
1804,47
319,1145
1215,1917
1,276
1468,993
299,288
257,768
379,1462
206,476
262,1169
882,1567
1055,1036
523,816
495,376
995,258
477,1809
251,1451
209,857
937,56
767,1510
1094,1596
485,861
1199,1169
955,973
1887,1635
1401,267
426,1891
1908,1656
1093,276
449,1117
1767,191
189,203
1082,1829
222,1226
1973,1238
384,895
640,460
903,129
904,1625
1249,963
572,1901
842,451
532,660
1221,905
1653,516
235,107
1552,142
900,1343
1201,1216
1440,20
718,1958
1395,255
269,310
1570,354
1371,1111
1466,545
1174,1115
23,1523
823,535
248,71
1136,807
1729,984
1964,1828
791,1121
1687,334
216,750
1918,321
874,1265
1035,1956
1132,1967
1427,1383
1376,1540
1799,136
1971,50
322,802
1742,922
1516,420
1750,1507
247,1718
734,3
1931,512
420,1313
552,1650
1586,200
1955,556
1044,1483
227,329
493,220
695,1329
1166,1253
1382,1342
287,299
1427,996
1922,1894
192,859
1755,1736
580,400
1965,587
1341,841
167,1612
184,1563
1222,117
88,1688
947,719
665,300
1693,456
1945,1236
949,1949
160,583
820,1278
1200,487
1650,193
821,167
91,1601
1455,756
885,388
1898,1880
871,1001
1596,618
326,604
659,980
1777,1901
1702,802
164,1908
1144,1511
1534,1091
184,1126
1943,1866
1719,569
23,455
1067,1965
1332,901
1950,523
506,1226
864,1483
388,1837
870,548
786,277
1746,862
822,1636
721,348
1610,501
908,1849
340,557
643,1378
673,1760
1794,631
132,813
1615,1072
1772,1169
1672,1217
249,590
1203,1365
603,1057
162,1807
1302,703
709,1387
896,1550
1077,1115
1797,1009
1837,1853
1223,964
1721,1886
1975,1832
817,774
608,1653
1303,1966
1480,1893
237,704
1812,1929
538,20
953,1330
1169,304
468,628
1817,1935
892,1882
938,412
1529,893
136,948
1509,1156
1052,1963
755,1853
767,1316
1420,1029
1938,1255
163,666
327,184
1333,381
987,552
1567,1771
1952,570
816,1618
756,1143
1644,1
432,48
87,1632
460,304
618,1085
1264,122
363,1635
446,203
1300,856
653,1134
1235,671
1807,2
582,47
1960,1286
249,1291
708,1937
599,1111
1871,878
1041,1565
200,184
830,954
353,1443
319,953
1395,1437
1492,145
412,188
1643,1299
244,1805
89,1521
677,930
918,254
1296,1885
1606,982
1582,55
1653,105
1420,129
1828,1315
1437,756
1809,1392
267,1331
673,9
682,642
342,202
1077,254
855,1720
913,1834
285,1588
1723,32
1752,1127
1293,1206
1797,532
449,1184
891,1187
919,1882
438,861
1318,1235
228,449
566,1653
191,251
655,480
289,906
1080,1563
1034,1455
60,881
793,1052
164,685
1383,756
1458,370
1837,184
434,1925
1897,1699
312,108
774,1793
1622,1708
1727,66
1558,1933
1696,873
1659,1315
100,796
1194,1306
505,459
336,1062
153,494
1287,1749
1437,997
933,1548
93,1106
1756,1255
822,567
417,1717
1135,384
895,271
1010,1380
811,950
299,772
1143,961
311,1765
165,999
248,801
1724,992
1933,897
784,440
1679,122
1912,1385
1539,1899
1748,1342
1351,1273
1273,1045
735,840
775,45
1016,219
371,1562
974,1151
836,464
1702,826
1662,563
1369,916
533,1336
612,717
251,872
784,969
988,873
131,1968
467,529
308,117
2,1509
1737,400
1235,1826
789,1592
872,992
136,1945
321,1597
830,382
1668,706
98,1806
1495,61
456,1193
1609,600
1274,381
1153,1555
366,507
1358,1614
607,1765
946,1132
1386,369
388,1424
580,1244
880,823
271,811
256,275
1633,1586
408,1693
1998,1572
1526,961
1821,454
1349,1410
1922,1113
1375,550
1764,105
1846,414
1065,1225
226,999
1634,1854
1216,612
624,38
884,859
106,1845
1450,1992
1352,437
826,1841
186,1327
1607,1700
531,63
1948,818
904,290
602,75
1382,247
42,1105
149,1243
1838,1085
1214,672
1829,549
663,688
711,1792
404,1841
21,1762
1823,1757
65,436
86,1091
283,1826
1658,1195
1725,1518
944,1872
1266,835
559,512
158,1440
291,1435
1318,1896
636,104
1055,891
630,127
1799,875
1092,1568
989,449
718,1104
504,1148
1580,227
936,227
439,299
1927,1123
1065,1692
912,508
1811,1369
1902,1509
